Wall time,Step,Value
1546413404.3455255,0,0.6155295372009277
1546413430.041741,1,0.524634599685669
1546413455.1733036,2,0.47626298666000366
1546413480.8086061,3,0.4432374835014343
1546413506.4658325,4,0.4125083386898041
1546413532.1310494,5,0.3770945370197296
1546413557.9232135,6,0.35064896941185
1546413582.4001932,7,0.3231508135795593
1546413608.0833836,8,0.3014907240867615
1546413633.6696665,9,0.28211405873298645
1546413659.435805,10,0.26185837388038635
1546413685.1779876,11,0.23975218832492828
1546413711.0171397,12,0.22278523445129395
1546413736.9351892,13,0.20765109360218048
1546413762.6333666,14,0.19169993698596954
1546413788.427553,15,0.1735764741897583
1546413814.3435843,16,0.16254809498786926
1546413840.1797113,17,0.1491594910621643
1546413866.1757445,18,0.13663670420646667
1546413892.2217286,19,0.1273820400238037
